TRANSFUSION BLOOD/COMP 2 UNITS,3902921,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,"Cigna Healthcare of Arizona, Inc.",PPO Medicare Advantage Plan,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,3902921,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,"Health Choice Arizona, Inc.",Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,3902921,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,3902921,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,7141146,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,"Cigna Healthcare of Arizona, Inc.",PPO Medicare Advantage Plan,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,7141146,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,7141146,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,7503063,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Aetna,Broad Network,,899.54,,,,,,,287.87,1397.35,percent of total billed charges,
TRANSFUSION BLOOD/COMP 2 UNITS,7633050,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Banner University Health Plan,University Care Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,7633050,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,United Healthcare,Individual Exchange,,652.34,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,7690399,CDM,391,RC,36430,CPT,,,facility,inpatient,,,1559.00000,483.29000,Aetna,Medical Rental,,821.59,,,,,,,701.55,1169.25,percent of total billed charges,
TRANSFUSION BLOOD/COMP 3+ UNITS,3900255,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,Aetna,Medical Rental,,986.02,,,,,,,287.87,1403.25,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
TRANSFUSION BLOOD/COMP 3+ UNITS,3902541,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,"Health Choice Arizona, Inc.",ACA Health Plan,,698.94,,,,,,,287.87,1403.25,fee schedule,
TRANSFUSION BLOOD/COMP 3+ UNITS,3902541,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,Aetna,Medical Rental,,986.02,,,,,,,287.87,1403.25,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
TRANSFUSION BLOOD/COMP 3+ UNITS,3902541,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,Arizona Physicians IPA,Medicare Advantage,,465.96,,,,,,,287.87,1403.25,fee schedule,
TRANSFUSION BLOOD/COMP 3+ UNITS,3902541,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,TriWest Healthcare Alliance Corp - VA CCN,Tricare,,,,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.",465.96,430.19,465.96,1 through 10,287.87,1403.25,other,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc."
TRANSFUSION BLOOD/COMP 3+ UNITS,3902939,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,Banner University Health Plan,AZ Medicaid - AHCCCS,,287.87,,,,,,,287.87,1403.25,case rate,
TRANSFUSION BLOOD/COMP 3+ UNITS,3902939,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,Banner University Health Plan,Medicare Advantage,,465.96,,,,,,,287.87,1403.25,fee schedule,
TRANSFUSION BLOOD/COMP 3+ UNITS,3902939,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,Care 1st,Medicare Advantage,,465.96,,,,,,,287.87,1403.25,fee schedule,
TRANSFUSION BLOOD/COMP 3+ UNITS,7503071,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,Banner University Health Plan,University Care Advantage,,465.96,,,,,,,287.87,1403.25,fee schedule,
TRANSFUSION BLOOD/COMP 3+ UNITS,7503071,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,Devoted Health Services,Medicare Advantage,,489.26,,,,,,,287.87,1403.25,fee schedule,
TRANSFUSION BLOOD/COMP 3+ UNITS,7503071,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,Health Net,Medicare,,465.96,,,,,,,287.87,1403.25,fee schedule,
TRANSFUSION BLOOD/COMP 3+ UNITS,7633068,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,"Health Choice Arizona, Inc.",ACA Health Plan,,698.94,,,,,,,287.87,1403.25,fee schedule,
TRANSFUSION BLOOD/COMP 3+ UNITS,7633068,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,United Healthcare,Medicare Advantage,,465.96,,,,,,,287.87,1403.25,fee schedule,
TRANSFUSION BLOOD/COMP 3+ UNITS,7690407,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,Banner Health,Medicare Advantage,,465.96,,,,,,,287.87,1403.25,fee schedule,
TRANSFUSION BLOOD/COMP 3+ UNITS,7690407,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,Banner Health,Medicare Advantage,,465.96,,,,,,,287.87,1403.25,fee schedule,
TRANSFUSION BLOOD/COMP 3+ UNITS,7690407,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1871.00000,580.01000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,407.73,,,,,,,287.87,1403.25,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
TRAZODONE/150MG 150MG TB,6796833,CDM,637,RC,J8499,HCPCS,00904721261,NDC,facility,outpatient,1,ME,4.40000,1.45000,Aetna,Medical Rental,,2.32,,,,,,,0.63404,12.61,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
TREPHINE LVL 04,6281752,CDM,272,RC,,,,,facility,outpatient,,,2157.00000,463.76000,United Healthcare,Commercial,,1151.84,,,,,,,310.82,1617.75,percent of total billed charges,
TREPROSTINIL/1MG 50MG/20ML SN MDV,6877187,CDM,636,RC,J3285,HCPCS,42023020701,NDC,facility,outpatient,1,ME,58.60000,16.70000,Health Net,Medicaid,,45.11,,,,,,,26.37,381.07,fee schedule,
TREPROSTINIL/1MG 50MG/20ML SN MDV,6877187,CDM,636,RC,J3285,HCPCS,42023020701,NDC,facility,outpatient,1,ME,58.60000,16.70000,Kaiser Foundation Health Plan,Medicare Advantage,,55.48,,,,,,,26.37,381.07,fee schedule,
TREPROSTINIL/1MG 50MG/20ML SN MDV,6877187,CDM,636,RC,J3285,HCPCS,42023020701,NDC,facility,outpatient,1,ME,58.60000,16.70000,Kaiser Foundation Health Plan,Medicare Advantage,,55.48,,,,,,,26.37,381.07,fee schedule,
TREPROSTINIL/1MG 50MG/20ML SN MDV,6877187,CDM,636,RC,J3285,HCPCS,42023020701,NDC,facility,outpatient,1,ME,58.60000,16.70000,Mercy Care,Medicaid,,45.11,,,,,,,26.37,381.07,fee schedule,
TRIM NAILS NONDYSTROPHIC,7615743,CDM,761,RC,11719,CPT,,,facility,outpatient,,,175.00000,90.65000,Gold Kidney Health Plan,Medicare Advantage,,69.64,,,,,,,40.35,344.94,fee schedule,
TRIM NAILS NONDYSTROPHIC,7615743,CDM,761,RC,11719,CPT,,,facility,outpatient,,,175.00000,90.65000,TriWest Healthcare Alliance Corp - VA CCN,VA Community Care Network,,63.31,,,,,,,40.35,344.94,fee schedule,Services not payable under Medicare will be paid at the VA Fee Schedule.
TRIMETHOPRIM-POLYB/10ML 10ML SNOP,6789754,CDM,637,RC,J3490,HCPCS,61314062810,NDC,facility,outpatient,1,EA,23.20000,7.63000,Aetna,Medical Rental,,12.23,,,,,,,3.34,17.40,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
TROCAR LVL 01,2777001,CDM,272,RC,,,,,facility,outpatient,,,313.00000,67.30000,"Health Choice Arizona, Inc.",ACA Health Plan,,156.50,,,,,,,45.10,234.75,percent of total billed charges,
TROCAR LVL 04,2777035,CDM,272,RC,,,,,facility,inpatient,,,2695.00000,579.42000,Aetna,Medical Rental,,1420.27,,,,,,,1212.75,2021.25,percent of total billed charges,
TUBE CHEST LVL 01,2777050,CDM,272,RC,,,,,facility,inpatient,,,102.00000,21.93000,Aetna,Medical Rental,,53.75,,,,,,,45.90,76.50,percent of total billed charges,
TUBE CHEST LVL 01,2777050,CDM,272,RC,,,,,facility,outpatient,,,102.00000,21.93000,Arizona Physicians IPA,Medicaid,,14.70,,,,,,,14.70,76.50,percent of total billed charges,
TUBE CHEST LVL 01,2777050,CDM,272,RC,,,,,facility,outpatient,,,102.00000,21.93000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,45.90,,,,,,,14.70,76.50,percent of total billed charges,
TUBE CHEST LVL 02,2774487,CDM,272,RC,,,,,facility,outpatient,,,313.00000,67.30000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,125.20,,,,,,,45.10,234.75,percent of total billed charges,For services and procedures not listed Hospital will be reimbursed at 40% of Hospital's billed charges less any applicable co-payments. Implants not included in the Medicare global reimbursement shall be reimbursed at 40% of billed charges.
TUBE SPECIALTY LVL 01,2777084,CDM,272,RC,,,,,facility,inpatient,,,32.00000,6.88000,Provider Network of America,Commercial,,24.00,,,,,,,14.40,24.00,percent of total billed charges,
TUBE SPECIALTY LVL 01,2777084,CDM,272,RC,,,,,facility,outpatient,,,32.00000,6.88000,Aetna,Medical Rental,,16.86,,,,,,,4.61,24.00,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
TUBE SPECIALTY LVL 01,2777084,CDM,272,RC,,,,,facility,outpatient,,,32.00000,6.88000,Aetna,Qualified Health Plan,,7.20,,,,,,,4.61,24.00,percent of total billed charges,
TUBE SPECIALTY LVL 02,2777100,CDM,272,RC,,,,,facility,outpatient,,,166.00000,35.69000,Oscar Health Plan,Commercial,,83.00,,,,,,,23.92,124.50,percent of total billed charges,
TUBE SPECIALTY LVL 03,2777092,CDM,272,RC,,,,,facility,outpatient,,,313.00000,67.30000,Aetna,Designated Group,,153.68,,,,,,,45.10,234.75,percent of total billed charges,
TUBE SPECIALTY LVL 03,2777092,CDM,272,RC,,,,,facility,outpatient,,,313.00000,67.30000,Plotkin Health,Plotkin Health,,140.85,,,,,,,45.10,234.75,percent of total billed charges,
TUBE SPECIALTY LVL 05,2777134,CDM,272,RC,,,,,facility,outpatient,,,594.00000,127.71000,Aetna,Qualified Health Plan,,133.65,,,,,,,85.60,445.50,percent of total billed charges,
TUBE SPECIALTY LVL 05,2777134,CDM,272,RC,,,,,facility,outpatient,,,594.00000,127.71000,Arizona Physicians IPA,Medicaid,,85.60,,,,,,,85.60,445.50,percent of total billed charges,
TUBE SPECIALTY LVL 07,2777159,CDM,272,RC,,,,,facility,inpatient,,,850.00000,182.75000,Quiktrip Corporation,Commercial,,459.00,,,,,,,382.50,637.50,percent of total billed charges,
TUBE SPECIALTY LVL 10,2777175,CDM,272,RC,,,,,facility,outpatient,,,2695.00000,579.42000,Aetna,Medical Rental,,1420.27,,,,,,,388.35,2021.25,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
TUBE TRACH IMP <30DAYS LVL 03,6312672,CDM,272,RC,,,,,facility,outpatient,,,850.00000,182.75000,"Health Choice Arizona, Inc.",Medicare Advantage,,255.00,,,,,,,122.48,637.50,percent of total billed charges,
TUBE TRACH IMP <30DAYS LVL 03,6312672,CDM,272,RC,,,,,facility,outpatient,,,850.00000,182.75000,Aetna,Medical Rental,,447.95,,,,,,,122.48,637.50,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
TUBE TRACH IMP <30DAYS LVL 04,6312680,CDM,272,RC,,,,,facility,outpatient,,,1132.00000,243.38000,Aetna,Banner Employee Plans,,380.35,,,,,,,163.12,849.00,percent of total billed charges,
TUBE TRACH IMP <30DAYS LVL 06,6312706,CDM,272,RC,,,,,facility,outpatient,,,1619.00000,348.08000,Aetna,Banner Employee Plans,,543.98,,,,,,,233.30,1214.25,percent of total billed charges,
TUBE TRACH IMP <30DAYS LVL 07,6312714,CDM,272,RC,,,,,facility,outpatient,,,2157.00000,463.76000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,970.65,,,,,,,310.82,1617.75,percent of total billed charges,
TUBE TRACH IMP <30DAYS LVL 08,6312722,CDM,272,RC,,,,,facility,outpatient,,,2695.00000,579.42000,Aetna,Medicare Advantage,,539.00,,,,,,,388.35,2021.25,percent of total billed charges,
TUBE TRACH IMP <30DAYS LVL 09,6313100,CDM,272,RC,,,,,facility,outpatient,,,3853.00000,828.40000,Aetna,Qualified Health Plan,,866.92,,,,,,,555.22,2889.75,percent of total billed charges,
TUBE TRACH IMP <30DAYS LVL 09,6313100,CDM,272,RC,,,,,facility,outpatient,,,3853.00000,828.40000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,1541.20,,,,,,,555.22,2889.75,percent of total billed charges,For services and procedures not listed Hospital will be reimbursed at 40% of Hospital's billed charges less any applicable co-payments. Implants not included in the Medicare global reimbursement shall be reimbursed at 40% of billed charges.
TUBERCULIN PPD/1ML 5U/0.1ML SNIJ,8407223,CDM,254,RC,J3590,HCPCS,,,facility,inpatient,,,6.76000,2.22000,Aetna,Medical Rental,UD,3.56,,,,,,,3.04,5.07,percent of total billed charges,
TX RAD 1 AREA >=1MEV LVL 01 SMPL,3333457,CDM,333,RC,77402,CPT,,,facility,outpatient,,,434.00000,200.07000,Aetna,Designated Group,,213.09,,,,,,,87.39,2420.00,percent of total billed charges,
TX RAD 1 AREA >=1MEV LVL 01 SMPL,3333457,CDM,333,RC,77402,CPT,,,facility,outpatient,,,434.00000,200.07000,United Healthcare,Individual Exchange,,163.39,,,,,,,87.39,2420.00,fee schedule,
TX RAD 1 AREA >=1MEV LVL 01 SMPL,3333457,CDM,333,RC,77402,CPT,,,facility,outpatient,,,434.00000,200.07000,Wellpoint,Medicare Advantage HMO,,116.71,,,,,,,87.39,2420.00,fee schedule,
TX RAD 1 AREA >=1MEV LVL 01 SMPL,3333457,CDM,333,RC,77402,CPT,,,facility,outpatient,,,434.00000,200.07000,Wellpoint,Medicare Advantage HMO,,116.71,,,,,,,87.39,2420.00,fee schedule,
TX RAD 2 AREAS >=1MEV LVL 02 INTRM,3333465,CDM,333,RC,77407,CPT,,,facility,outpatient,,,552.00000,254.47000,TriWest Healthcare Alliance Corp - VA CCN,VA Community Care Network,,280.29,,,,,,,175.22,2420.00,fee schedule,Services not payable under Medicare will be paid at the VA Fee Schedule.
TX RAD 2 AREAS >=1MEV LVL 02 INTRM,3333465,CDM,333,RC,77407,CPT,,,facility,outpatient,,,552.00000,254.47000,United Healthcare,Commercial,,2420.00,,,,,,,175.22,2420.00,per diem,"If billed in RC 333, will not pay if billed with CPT codes 61796-61800, 63620-63621, 77371, 77372, 77373."
TX RAD 3+ AREAS >=1MEV LVL 03 CMPLX,3333473,CDM,333,RC,77412,CPT,,,facility,outpatient,,,735.00000,338.84000,"Cigna Healthcare of Arizona, Inc.",Commercial,,504.94,,,,,,,175.22,2420.00,percent of total billed charges,
TX RAD 3+ AREAS >=1MEV LVL 03 CMPLX,3333473,CDM,333,RC,77412,CPT,,,facility,outpatient,,,735.00000,338.84000,Aetna,Banner Employee Plans,,246.96,,,,,,,175.22,2420.00,percent of total billed charges,
TX RAD 3+ AREAS >=1MEV LVL 03 CMPLX,3333473,CDM,333,RC,77412,CPT,,,facility,outpatient,,,735.00000,338.84000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,1564.96,,,,,,,175.22,2420.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
TX RAD 3+ AREAS >=1MEV LVL 03 CMPLX,3333473,CDM,333,RC,77412,CPT,,,facility,outpatient,,,735.00000,338.84000,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,,1314.56,,,,,,,175.22,2420.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
ULTRAFILTRATION THERAPEUTIC,8011728,CDM,881,RC,0692T,CPT,,,facility,inpatient,,,2219.00000,730.12000,Provider Network of America,Commercial,,1664.25,,,,,,,998.55,1664.25,percent of total billed charges,
ULTRAFILTRATION THERAPEUTIC,8011728,CDM,881,RC,0692T,CPT,,,facility,outpatient,,,2219.00000,730.12000,Aetna,Designated Group,,1089.53,,,,,,,184.00,2882.85,percent of total billed charges,
ULTRAFILTRATION THERAPEUTIC,8011728,CDM,881,RC,0692T,CPT,,,facility,outpatient,,,2219.00000,730.12000,Aetna,Qualified Health Plan,,,,"ESRD services are paid at a percentage of The ESRD PPS pricer. The pricer provides a patient-level and facility-level adjusted per treatment (dialysis) payment to ESRD facilities for renal dialysis services provided in an ESRD facility or in a beneficiary’s home. The bundled per treatment payment includes drugs, laboratory services, supplies and capital-related costs related to furnishing maintenance dialysis.",,,,0,184.00,2882.85,other,"There were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
ULTRAFILTRATION THERAPEUTIC,8011728,CDM,881,RC,0692T,CPT,,,facility,outpatient,,,2219.00000,730.12000,Humana,Medicare Advantage,,1799.60,,,,,,,184.00,2882.85,fee schedule,
UNLISTED CRANIOFACIAL AND MAXILLOFACIAL PROCEDURE,21299,CPT,,,,,,,facility,outpatient,,,,,Arizona Physicians IPA,Medicaid,360,153.41,,,,,,,153.41,6160.96,case rate,
UPGRADE SYS PM IMP SGL TO DUAL,4801866,CDM,361,RC,33214,CPT,,,facility,outpatient,,,12779.00000,4574.88000,Wellpoint,Medicare Advantage HMO,,11154.16,,,,,,,2837.28,51815.00,fee schedule,
UPGRADE SYS PM IMP SGL TO DUAL,4801866,CDM,361,RC,33214,CPT,,,facility,outpatient,,,12779.00000,4574.88000,Wellpoint,Medicare Advantage HMO,,11154.16,,,,,,,2837.28,51815.00,fee schedule,
UPGRADE SYS PM IMP SGL TO DUAL,4805941,CDM,361,RC,33214,CPT,,,facility,outpatient,,,12779.00000,4574.88000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,7779.08,,,,,,,2837.28,51815.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
UPGRADE SYS PM IMP SGL TO DUAL,4805941,CDM,361,RC,33214,CPT,,,facility,outpatient,,,12779.00000,4574.88000,Mercy Care,Mercy Care Advantage,,11154.16,,,,,,,2837.28,51815.00,fee schedule,
URETHROCYSTOGRAM RETROGRADE S&I,3225323,CDM,320,RC,74450,CPT,,,facility,outpatient,,,1062.00000,299.48000,Banner University Health Plan,University Care Advantage,,257.63,,,,,,,166.84,1272.55,fee schedule,
URETHROCYSTOGRAM RETROGRADE S&I,3225323,CDM,320,RC,74450,CPT,,,facility,outpatient,,,1062.00000,299.48000,Kaiser Foundation Health Plan,Medicare Advantage,,257.63,,,,,,,166.84,1272.55,fee schedule,
URETHROCYSTOGRAM RETROGRADE S&I,3225323,CDM,320,RC,74450,CPT,,,facility,outpatient,,,1062.00000,299.48000,Kaiser Foundation Health Plan,Medicare Advantage,,257.63,,,,,,,166.84,1272.55,fee schedule,
URETHROCYSTOGRAM RETROGRADE S&I,3225323,CDM,320,RC,74450,CPT,,,facility,outpatient,,,1062.00000,299.48000,United Healthcare,Commercial,,1165.03,,,,,,,166.84,1272.55,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Radiology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
URETHROCYSTOGRAM RETROGRADE S&I,3228780,CDM,320,RC,74450,CPT,,,facility,outpatient,,,1062.00000,299.48000,Banner University Health Plan,University Family Plan,,166.84,,,,,,,166.84,1272.55,fee schedule,
URETHROCYSTOGRAM RETROGRADE S&I,3228780,CDM,320,RC,74450,CPT,,,facility,outpatient,,,1062.00000,299.48000,TriWest Healthcare Alliance Corp - VA CCN,Tricare,,,,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.",,,,0,166.84,1272.55,other,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
